Vardenis            Pavardenis          Galutinis(Vid.)     
Vardenis693         Pavardenis693       7.32                
Vardenis694         Pavardenis694       5.04                
Vardenis695         Pavardenis695       4.36                
Vardenis696         Pavardenis696       7.12                
Vardenis697         Pavardenis697       7.36                
Vardenis698         Pavardenis698       2.92                
Vardenis699         Pavardenis699       6.08                
Vardenis700         Pavardenis700       5.4                 
Vardenis701         Pavardenis701       4.32                
Vardenis702         Pavardenis702       6.44                
Vardenis703         Pavardenis703       4.2                 
Vardenis704         Pavardenis704       2.68                
Vardenis705         Pavardenis705       4.64                
Vardenis706         Pavardenis706       3.8                 
Vardenis707         Pavardenis707       4.88                
Vardenis708         Pavardenis708       4.28                
Vardenis709         Pavardenis709       6.44                
Vardenis710         Pavardenis710       7.16                
Vardenis711         Pavardenis711       3.24                
Vardenis712         Pavardenis712       4.32                
Vardenis713         Pavardenis713       5.68                
Vardenis714         Pavardenis714       4.96                
Vardenis715         Pavardenis715       3.76                
Vardenis716         Pavardenis716       6.6                 
Vardenis717         Pavardenis717       6.92                
Vardenis718         Pavardenis718       5.36                
Vardenis719         Pavardenis719       2.92                
Vardenis720         Pavardenis720       3.28                
Vardenis721         Pavardenis721       4.88                
Vardenis722         Pavardenis722       6.68                
Vardenis723         Pavardenis723       4.04                
Vardenis724         Pavardenis724       8.2                 
Vardenis725         Pavardenis725       3.24                
Vardenis726         Pavardenis726       6.76                
Vardenis727         Pavardenis727       8.72                
Vardenis728         Pavardenis728       3.52                
Vardenis729         Pavardenis729       5.44                
Vardenis730         Pavardenis730       7.32                
Vardenis731         Pavardenis731       4.16                
Vardenis732         Pavardenis732       5.96                
Vardenis733         Pavardenis733       3.4                 
Vardenis734         Pavardenis734       5.28                
Vardenis735         Pavardenis735       4                   
Vardenis736         Pavardenis736       4.64                
Vardenis737         Pavardenis737       3                   
Vardenis738         Pavardenis738       4.28                
Vardenis739         Pavardenis739       6.56                
Vardenis740         Pavardenis740       8                   
Vardenis741         Pavardenis741       4.72                
Vardenis742         Pavardenis742       8.72                
Vardenis743         Pavardenis743       6.56                
Vardenis744         Pavardenis744       4.16                
Vardenis745         Pavardenis745       6.52                
Vardenis746         Pavardenis746       6.24                
Vardenis747         Pavardenis747       6.24                
Vardenis748         Pavardenis748       1.88                
Vardenis749         Pavardenis749       7                   
Vardenis750         Pavardenis750       6.52                
Vardenis751         Pavardenis751       2.28                
Vardenis752         Pavardenis752       5.48                
Vardenis753         Pavardenis753       5.52                
Vardenis754         Pavardenis754       2.76                
Vardenis755         Pavardenis755       4.24                
Vardenis756         Pavardenis756       8.96                
Vardenis757         Pavardenis757       7.04                
Vardenis758         Pavardenis758       7.32                
Vardenis759         Pavardenis759       3.16                
Vardenis760         Pavardenis760       5.24                
Vardenis761         Pavardenis761       7.4                 
Vardenis762         Pavardenis762       6.12                
Vardenis763         Pavardenis763       7.16                
Vardenis764         Pavardenis764       8.04                
Vardenis765         Pavardenis765       5.84                
Vardenis766         Pavardenis766       8.32                
Vardenis767         Pavardenis767       6.44                
Vardenis768         Pavardenis768       3.8                 
Vardenis769         Pavardenis769       5.12                
Vardenis770         Pavardenis770       4.32                
Vardenis771         Pavardenis771       4.84                
Vardenis772         Pavardenis772       6.28                
Vardenis773         Pavardenis773       6.8                 
Vardenis774         Pavardenis774       7.04                
Vardenis775         Pavardenis775       4.4                 
Vardenis776         Pavardenis776       8.32                
Vardenis777         Pavardenis777       6.92                
Vardenis778         Pavardenis778       4.4                 
Vardenis779         Pavardenis779       8.8                 
Vardenis780         Pavardenis780       6.36                
Vardenis781         Pavardenis781       6.12                
Vardenis782         Pavardenis782       4.28                
Vardenis783         Pavardenis783       5.72                
Vardenis784         Pavardenis784       5                   
Vardenis785         Pavardenis785       7.2                 
Vardenis786         Pavardenis786       5.12                
Vardenis787         Pavardenis787       2.68                
Vardenis788         Pavardenis788       8.32                
Vardenis789         Pavardenis789       3.56                
Vardenis790         Pavardenis790       2.92                
Vardenis791         Pavardenis791       4.44                
Vardenis792         Pavardenis792       5.24                
Vardenis793         Pavardenis793       2.92                
Vardenis794         Pavardenis794       4.88                
Vardenis795         Pavardenis795       6.88                
Vardenis796         Pavardenis796       8.56                
Vardenis797         Pavardenis797       8.36                
Vardenis798         Pavardenis798       8.72                
Vardenis799         Pavardenis799       4.4                 
Vardenis800         Pavardenis800       4.84                
Vardenis801         Pavardenis801       6.52                
Vardenis802         Pavardenis802       3.92                
Vardenis803         Pavardenis803       8.52                
Vardenis804         Pavardenis804       5.16                
Vardenis805         Pavardenis805       5.12                
Vardenis806         Pavardenis806       4.4                 
Vardenis807         Pavardenis807       4.6                 
Vardenis808         Pavardenis808       8.36                
Vardenis809         Pavardenis809       3.52                
Vardenis810         Pavardenis810       4.76                
Vardenis811         Pavardenis811       8.72                
Vardenis812         Pavardenis812       8.08                
Vardenis813         Pavardenis813       4.56                
Vardenis814         Pavardenis814       4.56                
Vardenis815         Pavardenis815       4.6                 
Vardenis816         Pavardenis816       6.48                
Vardenis817         Pavardenis817       5.68                
Vardenis818         Pavardenis818       3.88                
Vardenis819         Pavardenis819       4.12                
Vardenis820         Pavardenis820       8.36                
Vardenis821         Pavardenis821       3.52                
Vardenis822         Pavardenis822       6.2                 
Vardenis823         Pavardenis823       7.64                
Vardenis824         Pavardenis824       5.76                
Vardenis825         Pavardenis825       5.12                
Vardenis826         Pavardenis826       5.84                
Vardenis827         Pavardenis827       5.48                
Vardenis828         Pavardenis828       6.52                
Vardenis829         Pavardenis829       7.32                
Vardenis830         Pavardenis830       7.72                
Vardenis831         Pavardenis831       4.56                
Vardenis832         Pavardenis832       6.84                
Vardenis833         Pavardenis833       6.08                
Vardenis834         Pavardenis834       5.88                
Vardenis835         Pavardenis835       6.96                
Vardenis836         Pavardenis836       7.48                
Vardenis837         Pavardenis837       6.4                 
Vardenis838         Pavardenis838       2.44                
Vardenis839         Pavardenis839       5.84                
Vardenis840         Pavardenis840       3.12                
Vardenis841         Pavardenis841       6.96                
Vardenis842         Pavardenis842       7.36                
Vardenis843         Pavardenis843       6.88                
Vardenis844         Pavardenis844       6.8                 
Vardenis845         Pavardenis845       5.84                
Vardenis846         Pavardenis846       6.56                
Vardenis847         Pavardenis847       4.88                
Vardenis848         Pavardenis848       5.36                
Vardenis849         Pavardenis849       7.72                
Vardenis850         Pavardenis850       8.24                
Vardenis851         Pavardenis851       3.56                
Vardenis852         Pavardenis852       7.24                
Vardenis853         Pavardenis853       7.72                
Vardenis854         Pavardenis854       8.64                
Vardenis855         Pavardenis855       5.88                
Vardenis856         Pavardenis856       4.84                
Vardenis857         Pavardenis857       6.6                 
Vardenis858         Pavardenis858       5.52                
Vardenis859         Pavardenis859       2.68                
Vardenis860         Pavardenis860       5.16                
Vardenis861         Pavardenis861       7.96                
Vardenis862         Pavardenis862       2.6                 
Vardenis863         Pavardenis863       8                   
Vardenis864         Pavardenis864       4.04                
Vardenis865         Pavardenis865       5.52                
Vardenis866         Pavardenis866       8.4                 
Vardenis867         Pavardenis867       4.04                
Vardenis868         Pavardenis868       3.96                
Vardenis869         Pavardenis869       8.24                
Vardenis870         Pavardenis870       5.72                
Vardenis871         Pavardenis871       6.48                
Vardenis872         Pavardenis872       3.32                
Vardenis873         Pavardenis873       4.16                
Vardenis874         Pavardenis874       3.64                
Vardenis875         Pavardenis875       6.84                
Vardenis876         Pavardenis876       3.6                 
Vardenis877         Pavardenis877       4.36                
Vardenis878         Pavardenis878       4.44                
Vardenis879         Pavardenis879       7.8                 
Vardenis880         Pavardenis880       4.56                
Vardenis881         Pavardenis881       2.84                
Vardenis882         Pavardenis882       2.2                 
Vardenis883         Pavardenis883       3.72                
Vardenis884         Pavardenis884       3.56                
Vardenis885         Pavardenis885       4.48                
Vardenis886         Pavardenis886       5.64                
Vardenis887         Pavardenis887       9.04                
Vardenis888         Pavardenis888       3.44                
Vardenis889         Pavardenis889       4.56                
Vardenis890         Pavardenis890       3.08                
Vardenis891         Pavardenis891       7.88                
Vardenis892         Pavardenis892       7.08                
Vardenis893         Pavardenis893       7.8                 
Vardenis894         Pavardenis894       6.16                
Vardenis895         Pavardenis895       9.04                
Vardenis896         Pavardenis896       4.28                
Vardenis897         Pavardenis897       2.96                
Vardenis898         Pavardenis898       3.2                 
Vardenis899         Pavardenis899       2.44                
Vardenis900         Pavardenis900       2.92                
Vardenis901         Pavardenis901       2.68                
Vardenis902         Pavardenis902       4                   
Vardenis903         Pavardenis903       5.08                
Vardenis904         Pavardenis904       2.72                
Vardenis905         Pavardenis905       3.64                
Vardenis906         Pavardenis906       7.56                
Vardenis907         Pavardenis907       5.76                
Vardenis908         Pavardenis908       2.04                
Vardenis909         Pavardenis909       3.32                
Vardenis910         Pavardenis910       7.12                
Vardenis911         Pavardenis911       7.84                
Vardenis912         Pavardenis912       4.16                
Vardenis913         Pavardenis913       4.24                
Vardenis914         Pavardenis914       5.64                
Vardenis915         Pavardenis915       6.24                
Vardenis916         Pavardenis916       3.76                
Vardenis917         Pavardenis917       7.12                
Vardenis918         Pavardenis918       4.24                
Vardenis919         Pavardenis919       3.8                 
Vardenis920         Pavardenis920       5.24                
Vardenis921         Pavardenis921       8.48                
Vardenis922         Pavardenis922       4.16                
Vardenis923         Pavardenis923       3.72                
Vardenis924         Pavardenis924       8.56                
Vardenis925         Pavardenis925       5.48                
Vardenis926         Pavardenis926       1.72                
Vardenis927         Pavardenis927       5.52                
Vardenis928         Pavardenis928       7                   
Vardenis929         Pavardenis929       8.8                 
Vardenis930         Pavardenis930       2.04                
Vardenis931         Pavardenis931       3.36                
Vardenis932         Pavardenis932       7.72                
Vardenis933         Pavardenis933       7.68                
Vardenis934         Pavardenis934       2.44                
Vardenis935         Pavardenis935       4.2                 
Vardenis936         Pavardenis936       2.56                
Vardenis937         Pavardenis937       4.36                
Vardenis938         Pavardenis938       4.32                
Vardenis939         Pavardenis939       4.12                
Vardenis940         Pavardenis940       8.8                 
Vardenis941         Pavardenis941       7.76                
Vardenis942         Pavardenis942       3.96                
Vardenis943         Pavardenis943       3.2                 
Vardenis944         Pavardenis944       7.48                
Vardenis945         Pavardenis945       6.48                
Vardenis946         Pavardenis946       7.44                
Vardenis947         Pavardenis947       7.92                
Vardenis948         Pavardenis948       5.92                
Vardenis949         Pavardenis949       8.88                
Vardenis950         Pavardenis950       6.92                
Vardenis951         Pavardenis951       3.76                
Vardenis952         Pavardenis952       8.68                
Vardenis953         Pavardenis953       6.88                
Vardenis954         Pavardenis954       5.92                
Vardenis955         Pavardenis955       4.44                
Vardenis956         Pavardenis956       8.4                 
Vardenis957         Pavardenis957       4.88                
Vardenis958         Pavardenis958       6.44                
Vardenis959         Pavardenis959       5                   
Vardenis960         Pavardenis960       8                   
Vardenis961         Pavardenis961       4.56                
Vardenis962         Pavardenis962       6.2                 
Vardenis963         Pavardenis963       4                   
Vardenis964         Pavardenis964       8.72                
Vardenis965         Pavardenis965       3.32                
Vardenis966         Pavardenis966       2.6                 
Vardenis967         Pavardenis967       7.8                 
Vardenis968         Pavardenis968       5.56                
Vardenis969         Pavardenis969       3.68                
Vardenis970         Pavardenis970       6.72                
Vardenis971         Pavardenis971       2.52                
Vardenis972         Pavardenis972       3.36                
Vardenis973         Pavardenis973       4.16                
Vardenis974         Pavardenis974       4.88                
Vardenis975         Pavardenis975       6.2                 
Vardenis976         Pavardenis976       5.52                
Vardenis977         Pavardenis977       2.68                
Vardenis978         Pavardenis978       6.08                
Vardenis979         Pavardenis979       3.64                
Vardenis980         Pavardenis980       7.96                
Vardenis981         Pavardenis981       3.84                
Vardenis982         Pavardenis982       4.68                
Vardenis983         Pavardenis983       6.92                
Vardenis984         Pavardenis984       7.64                
Vardenis985         Pavardenis985       4.56                
Vardenis986         Pavardenis986       6.88                
Vardenis987         Pavardenis987       5.84                
Vardenis988         Pavardenis988       5.28                
Vardenis989         Pavardenis989       3.36                
Vardenis990         Pavardenis990       5.92                
Vardenis991         Pavardenis991       5.88                
Vardenis992         Pavardenis992       7.72                
Vardenis993         Pavardenis993       6.6                 
Vardenis994         Pavardenis994       8.36                
Vardenis995         Pavardenis995       8.72                
Vardenis996         Pavardenis996       6.44                
Vardenis997         Pavardenis997       6.48                
Vardenis998         Pavardenis998       4.8                 
Vardenis999         Pavardenis999       8.64                
Vardenis1000        Pavardenis1000      5.4                 
