Vardenis            Pavardenis          Galutinis(Vid.)     
Vardenis2526        Pavardenis2526      2.84                
Vardenis2527        Pavardenis2527      8.52                
Vardenis2528        Pavardenis2528      6.92                
Vardenis2529        Pavardenis2529      7.32                
Vardenis2530        Pavardenis2530      7.2                 
Vardenis2531        Pavardenis2531      3.4                 
Vardenis2532        Pavardenis2532      8.16                
Vardenis2533        Pavardenis2533      6.88                
Vardenis2534        Pavardenis2534      8.72                
Vardenis2535        Pavardenis2535      6.52                
Vardenis2536        Pavardenis2536      8.32                
Vardenis2537        Pavardenis2537      4.12                
Vardenis2538        Pavardenis2538      6.72                
Vardenis2539        Pavardenis2539      9.04                
Vardenis2540        Pavardenis2540      8.16                
Vardenis2541        Pavardenis2541      4.52                
Vardenis2542        Pavardenis2542      2.92                
Vardenis2543        Pavardenis2543      2.92                
Vardenis2544        Pavardenis2544      3.32                
Vardenis2545        Pavardenis2545      2.76                
Vardenis2546        Pavardenis2546      4.44                
Vardenis2547        Pavardenis2547      6.24                
Vardenis2548        Pavardenis2548      5.72                
Vardenis2549        Pavardenis2549      6.28                
Vardenis2550        Pavardenis2550      7.76                
Vardenis2551        Pavardenis2551      6.28                
Vardenis2552        Pavardenis2552      4.32                
Vardenis2553        Pavardenis2553      5.16                
Vardenis2554        Pavardenis2554      3.44                
Vardenis2555        Pavardenis2555      3.64                
Vardenis2556        Pavardenis2556      7.76                
Vardenis2557        Pavardenis2557      8.88                
Vardenis2558        Pavardenis2558      2.92                
Vardenis2559        Pavardenis2559      6.16                
Vardenis2560        Pavardenis2560      6.88                
Vardenis2561        Pavardenis2561      3.52                
Vardenis2562        Pavardenis2562      6.24                
Vardenis2563        Pavardenis2563      6.32                
Vardenis2564        Pavardenis2564      8.72                
Vardenis2565        Pavardenis2565      3.92                
Vardenis2566        Pavardenis2566      5.92                
Vardenis2567        Pavardenis2567      2.68                
Vardenis2568        Pavardenis2568      3.92                
Vardenis2569        Pavardenis2569      2.72                
Vardenis2570        Pavardenis2570      6.56                
Vardenis2571        Pavardenis2571      8.56                
Vardenis2572        Pavardenis2572      7.88                
Vardenis2573        Pavardenis2573      3.24                
Vardenis2574        Pavardenis2574      4.76                
Vardenis2575        Pavardenis2575      6.12                
Vardenis2576        Pavardenis2576      7.68                
Vardenis2577        Pavardenis2577      2.6                 
Vardenis2578        Pavardenis2578      5.48                
Vardenis2579        Pavardenis2579      4.12                
Vardenis2580        Pavardenis2580      3.8                 
Vardenis2581        Pavardenis2581      5.2                 
Vardenis2582        Pavardenis2582      6.56                
Vardenis2583        Pavardenis2583      2.52                
Vardenis2584        Pavardenis2584      7.84                
Vardenis2585        Pavardenis2585      2.56                
Vardenis2586        Pavardenis2586      2.2                 
Vardenis2587        Pavardenis2587      3.44                
Vardenis2588        Pavardenis2588      3.72                
Vardenis2589        Pavardenis2589      5.68                
Vardenis2590        Pavardenis2590      2.52                
Vardenis2591        Pavardenis2591      4.24                
Vardenis2592        Pavardenis2592      5.72                
Vardenis2593        Pavardenis2593      7.4                 
Vardenis2594        Pavardenis2594      5.32                
Vardenis2595        Pavardenis2595      3.84                
Vardenis2596        Pavardenis2596      3.24                
Vardenis2597        Pavardenis2597      7.04                
Vardenis2598        Pavardenis2598      6.56                
Vardenis2599        Pavardenis2599      4.24                
Vardenis2600        Pavardenis2600      3.4                 
Vardenis2601        Pavardenis2601      7.68                
Vardenis2602        Pavardenis2602      4.36                
Vardenis2603        Pavardenis2603      5.24                
Vardenis2604        Pavardenis2604      5.24                
Vardenis2605        Pavardenis2605      2.92                
Vardenis2606        Pavardenis2606      7.08                
Vardenis2607        Pavardenis2607      5.52                
Vardenis2608        Pavardenis2608      5.12                
Vardenis2609        Pavardenis2609      6.2                 
Vardenis2610        Pavardenis2610      8.64                
Vardenis2611        Pavardenis2611      5.4                 
Vardenis2612        Pavardenis2612      8.64                
Vardenis2613        Pavardenis2613      5.32                
Vardenis2614        Pavardenis2614      5.32                
Vardenis2615        Pavardenis2615      7.88                
Vardenis2616        Pavardenis2616      3.32                
Vardenis2617        Pavardenis2617      6.76                
Vardenis2618        Pavardenis2618      5.16                
Vardenis2619        Pavardenis2619      6.76                
Vardenis2620        Pavardenis2620      3.08                
Vardenis2621        Pavardenis2621      5                   
Vardenis2622        Pavardenis2622      6.76                
Vardenis2623        Pavardenis2623      6.44                
Vardenis2624        Pavardenis2624      5.88                
Vardenis2625        Pavardenis2625      4.88                
Vardenis2626        Pavardenis2626      6.08                
Vardenis2627        Pavardenis2627      2.36                
Vardenis2628        Pavardenis2628      7.08                
Vardenis2629        Pavardenis2629      6                   
Vardenis2630        Pavardenis2630      4.52                
Vardenis2631        Pavardenis2631      7.64                
Vardenis2632        Pavardenis2632      3.6                 
Vardenis2633        Pavardenis2633      4.72                
Vardenis2634        Pavardenis2634      4.48                
Vardenis2635        Pavardenis2635      3                   
Vardenis2636        Pavardenis2636      3.04                
Vardenis2637        Pavardenis2637      3.36                
Vardenis2638        Pavardenis2638      5.2                 
Vardenis2639        Pavardenis2639      4.56                
Vardenis2640        Pavardenis2640      5.56                
Vardenis2641        Pavardenis2641      4.4                 
Vardenis2642        Pavardenis2642      3.48                
Vardenis2643        Pavardenis2643      5.4                 
Vardenis2644        Pavardenis2644      7.28                
Vardenis2645        Pavardenis2645      4.56                
Vardenis2646        Pavardenis2646      7.4                 
Vardenis2647        Pavardenis2647      2.76                
Vardenis2648        Pavardenis2648      6.56                
Vardenis2649        Pavardenis2649      3.36                
Vardenis2650        Pavardenis2650      5.68                
Vardenis2651        Pavardenis2651      6.28                
Vardenis2652        Pavardenis2652      3.04                
Vardenis2653        Pavardenis2653      5.56                
Vardenis2654        Pavardenis2654      4.96                
Vardenis2655        Pavardenis2655      2.36                
Vardenis2656        Pavardenis2656      7                   
Vardenis2657        Pavardenis2657      4.72                
Vardenis2658        Pavardenis2658      2.68                
Vardenis2659        Pavardenis2659      6.96                
Vardenis2660        Pavardenis2660      3.96                
Vardenis2661        Pavardenis2661      8.16                
Vardenis2662        Pavardenis2662      4.84                
Vardenis2663        Pavardenis2663      5.24                
Vardenis2664        Pavardenis2664      6.76                
Vardenis2665        Pavardenis2665      9.04                
Vardenis2666        Pavardenis2666      7.32                
Vardenis2667        Pavardenis2667      7.2                 
Vardenis2668        Pavardenis2668      7.24                
Vardenis2669        Pavardenis2669      8.04                
Vardenis2670        Pavardenis2670      5.52                
Vardenis2671        Pavardenis2671      2.52                
Vardenis2672        Pavardenis2672      5.92                
Vardenis2673        Pavardenis2673      5.56                
Vardenis2674        Pavardenis2674      4.08                
Vardenis2675        Pavardenis2675      5.64                
Vardenis2676        Pavardenis2676      8.64                
Vardenis2677        Pavardenis2677      7.16                
Vardenis2678        Pavardenis2678      6.72                
Vardenis2679        Pavardenis2679      5.44                
Vardenis2680        Pavardenis2680      7                   
Vardenis2681        Pavardenis2681      7                   
Vardenis2682        Pavardenis2682      6.72                
Vardenis2683        Pavardenis2683      4.72                
Vardenis2684        Pavardenis2684      4.68                
Vardenis2685        Pavardenis2685      3                   
Vardenis2686        Pavardenis2686      3.24                
Vardenis2687        Pavardenis2687      7.8                 
Vardenis2688        Pavardenis2688      4.84                
Vardenis2689        Pavardenis2689      5.92                
Vardenis2690        Pavardenis2690      3.28                
Vardenis2691        Pavardenis2691      6.56                
Vardenis2692        Pavardenis2692      6.2                 
Vardenis2693        Pavardenis2693      4.28                
Vardenis2694        Pavardenis2694      5.6                 
Vardenis2695        Pavardenis2695      4.96                
Vardenis2696        Pavardenis2696      3.52                
Vardenis2697        Pavardenis2697      3.36                
Vardenis2698        Pavardenis2698      5.68                
Vardenis2699        Pavardenis2699      5.8                 
Vardenis2700        Pavardenis2700      7.64                
Vardenis2701        Pavardenis2701      6.88                
Vardenis2702        Pavardenis2702      5.8                 
Vardenis2703        Pavardenis2703      3.44                
Vardenis2704        Pavardenis2704      8.56                
Vardenis2705        Pavardenis2705      7.92                
Vardenis2706        Pavardenis2706      4.72                
Vardenis2707        Pavardenis2707      4.72                
Vardenis2708        Pavardenis2708      5.24                
Vardenis2709        Pavardenis2709      6.68                
Vardenis2710        Pavardenis2710      7.32                
Vardenis2711        Pavardenis2711      4.24                
Vardenis2712        Pavardenis2712      5.52                
Vardenis2713        Pavardenis2713      8.48                
Vardenis2714        Pavardenis2714      4.92                
Vardenis2715        Pavardenis2715      4.24                
Vardenis2716        Pavardenis2716      6.44                
Vardenis2717        Pavardenis2717      1.96                
Vardenis2718        Pavardenis2718      3.84                
Vardenis2719        Pavardenis2719      5.8                 
Vardenis2720        Pavardenis2720      4.16                
Vardenis2721        Pavardenis2721      8                   
Vardenis2722        Pavardenis2722      6.56                
Vardenis2723        Pavardenis2723      2.6                 
Vardenis2724        Pavardenis2724      5.84                
Vardenis2725        Pavardenis2725      3.04                
Vardenis2726        Pavardenis2726      7.04                
Vardenis2727        Pavardenis2727      6.16                
Vardenis2728        Pavardenis2728      8.24                
Vardenis2729        Pavardenis2729      7.24                
Vardenis2730        Pavardenis2730      4.4                 
Vardenis2731        Pavardenis2731      8                   
Vardenis2732        Pavardenis2732      8.16                
Vardenis2733        Pavardenis2733      4.84                
Vardenis2734        Pavardenis2734      4.12                
Vardenis2735        Pavardenis2735      6.48                
Vardenis2736        Pavardenis2736      6.68                
Vardenis2737        Pavardenis2737      4.28                
Vardenis2738        Pavardenis2738      5.04                
Vardenis2739        Pavardenis2739      7.84                
Vardenis2740        Pavardenis2740      7.92                
Vardenis2741        Pavardenis2741      5.8                 
Vardenis2742        Pavardenis2742      4.8                 
Vardenis2743        Pavardenis2743      5.16                
Vardenis2744        Pavardenis2744      7.92                
Vardenis2745        Pavardenis2745      5.6                 
Vardenis2746        Pavardenis2746      7.48                
Vardenis2747        Pavardenis2747      7.96                
Vardenis2748        Pavardenis2748      7.24                
Vardenis2749        Pavardenis2749      4.88                
Vardenis2750        Pavardenis2750      5.16                
Vardenis2751        Pavardenis2751      7.6                 
Vardenis2752        Pavardenis2752      8.24                
Vardenis2753        Pavardenis2753      5.36                
Vardenis2754        Pavardenis2754      3.68                
Vardenis2755        Pavardenis2755      6.04                
Vardenis2756        Pavardenis2756      8.56                
Vardenis2757        Pavardenis2757      5.8                 
Vardenis2758        Pavardenis2758      5.48                
Vardenis2759        Pavardenis2759      3.04                
Vardenis2760        Pavardenis2760      5.4                 
Vardenis2761        Pavardenis2761      6.16                
Vardenis2762        Pavardenis2762      4.24                
Vardenis2763        Pavardenis2763      6.6                 
Vardenis2764        Pavardenis2764      3.44                
Vardenis2765        Pavardenis2765      6.76                
Vardenis2766        Pavardenis2766      4                   
Vardenis2767        Pavardenis2767      5.2                 
Vardenis2768        Pavardenis2768      5.96                
Vardenis2769        Pavardenis2769      4.88                
Vardenis2770        Pavardenis2770      5.92                
Vardenis2771        Pavardenis2771      3.8                 
Vardenis2772        Pavardenis2772      6.64                
Vardenis2773        Pavardenis2773      3.72                
Vardenis2774        Pavardenis2774      6.88                
Vardenis2775        Pavardenis2775      8.52                
Vardenis2776        Pavardenis2776      4.96                
Vardenis2777        Pavardenis2777      3.36                
Vardenis2778        Pavardenis2778      3.8                 
Vardenis2779        Pavardenis2779      5.16                
Vardenis2780        Pavardenis2780      4.36                
Vardenis2781        Pavardenis2781      4.44                
Vardenis2782        Pavardenis2782      6.12                
Vardenis2783        Pavardenis2783      8.44                
Vardenis2784        Pavardenis2784      3.88                
Vardenis2785        Pavardenis2785      4.6                 
Vardenis2786        Pavardenis2786      3.44                
Vardenis2787        Pavardenis2787      3.64                
Vardenis2788        Pavardenis2788      7.72                
Vardenis2789        Pavardenis2789      6.32                
Vardenis2790        Pavardenis2790      6.12                
Vardenis2791        Pavardenis2791      6.68                
Vardenis2792        Pavardenis2792      3.24                
Vardenis2793        Pavardenis2793      1.56                
Vardenis2794        Pavardenis2794      3.76                
Vardenis2795        Pavardenis2795      4.28                
Vardenis2796        Pavardenis2796      7.2                 
Vardenis2797        Pavardenis2797      6.68                
Vardenis2798        Pavardenis2798      8                   
Vardenis2799        Pavardenis2799      3.36                
Vardenis2800        Pavardenis2800      8.04                
Vardenis2801        Pavardenis2801      8.24                
Vardenis2802        Pavardenis2802      6.08                
Vardenis2803        Pavardenis2803      4.68                
Vardenis2804        Pavardenis2804      6.8                 
Vardenis2805        Pavardenis2805      5.2                 
Vardenis2806        Pavardenis2806      5.12                
Vardenis2807        Pavardenis2807      5.28                
Vardenis2808        Pavardenis2808      4                   
Vardenis2809        Pavardenis2809      3.64                
Vardenis2810        Pavardenis2810      4.32                
Vardenis2811        Pavardenis2811      5.04                
Vardenis2812        Pavardenis2812      4.76                
Vardenis2813        Pavardenis2813      7.04                
Vardenis2814        Pavardenis2814      2.04                
Vardenis2815        Pavardenis2815      3.84                
Vardenis2816        Pavardenis2816      6.28                
Vardenis2817        Pavardenis2817      3.44                
Vardenis2818        Pavardenis2818      7.84                
Vardenis2819        Pavardenis2819      3.12                
Vardenis2820        Pavardenis2820      2.6                 
Vardenis2821        Pavardenis2821      3.44                
Vardenis2822        Pavardenis2822      3.32                
Vardenis2823        Pavardenis2823      4.36                
Vardenis2824        Pavardenis2824      4.56                
Vardenis2825        Pavardenis2825      7.96                
Vardenis2826        Pavardenis2826      7.4                 
Vardenis2827        Pavardenis2827      3.88                
Vardenis2828        Pavardenis2828      6.16                
Vardenis2829        Pavardenis2829      4.2                 
Vardenis2830        Pavardenis2830      6.56                
Vardenis2831        Pavardenis2831      6.48                
Vardenis2832        Pavardenis2832      7.44                
Vardenis2833        Pavardenis2833      3.52                
Vardenis2834        Pavardenis2834      5.92                
Vardenis2835        Pavardenis2835      2.88                
Vardenis2836        Pavardenis2836      7.96                
Vardenis2837        Pavardenis2837      2.68                
Vardenis2838        Pavardenis2838      2.96                
Vardenis2839        Pavardenis2839      4.64                
Vardenis2840        Pavardenis2840      2.96                
Vardenis2841        Pavardenis2841      5.24                
Vardenis2842        Pavardenis2842      8.48                
Vardenis2843        Pavardenis2843      5.32                
Vardenis2844        Pavardenis2844      5.8                 
Vardenis2845        Pavardenis2845      6.2                 
Vardenis2846        Pavardenis2846      3.64                
Vardenis2847        Pavardenis2847      2.68                
Vardenis2848        Pavardenis2848      5.76                
Vardenis2849        Pavardenis2849      5.72                
Vardenis2850        Pavardenis2850      4.52                
Vardenis2851        Pavardenis2851      3.44                
Vardenis2852        Pavardenis2852      5.44                
Vardenis2853        Pavardenis2853      3.84                
Vardenis2854        Pavardenis2854      5.88                
Vardenis2855        Pavardenis2855      4.72                
Vardenis2856        Pavardenis2856      6.8                 
Vardenis2857        Pavardenis2857      6.64                
Vardenis2858        Pavardenis2858      3.48                
Vardenis2859        Pavardenis2859      5.64                
Vardenis2860        Pavardenis2860      7.4                 
Vardenis2861        Pavardenis2861      6.32                
Vardenis2862        Pavardenis2862      4.56                
Vardenis2863        Pavardenis2863      4.8                 
Vardenis2864        Pavardenis2864      5.44                
Vardenis2865        Pavardenis2865      8.72                
Vardenis2866        Pavardenis2866      7.08                
Vardenis2867        Pavardenis2867      7.52                
Vardenis2868        Pavardenis2868      4.52                
Vardenis2869        Pavardenis2869      6.32                
Vardenis2870        Pavardenis2870      8                   
Vardenis2871        Pavardenis2871      3.84                
Vardenis2872        Pavardenis2872      5.8                 
Vardenis2873        Pavardenis2873      8.24                
Vardenis2874        Pavardenis2874      3.88                
Vardenis2875        Pavardenis2875      3.2                 
Vardenis2876        Pavardenis2876      6.88                
Vardenis2877        Pavardenis2877      8.44                
Vardenis2878        Pavardenis2878      4.68                
Vardenis2879        Pavardenis2879      7.88                
Vardenis2880        Pavardenis2880      8                   
Vardenis2881        Pavardenis2881      7.44                
Vardenis2882        Pavardenis2882      6                   
Vardenis2883        Pavardenis2883      7.88                
Vardenis2884        Pavardenis2884      4.96                
Vardenis2885        Pavardenis2885      5.52                
Vardenis2886        Pavardenis2886      8.2                 
Vardenis2887        Pavardenis2887      5.4                 
Vardenis2888        Pavardenis2888      2.68                
Vardenis2889        Pavardenis2889      5.92                
Vardenis2890        Pavardenis2890      5.2                 
Vardenis2891        Pavardenis2891      5.88                
Vardenis2892        Pavardenis2892      6.16                
Vardenis2893        Pavardenis2893      7.68                
Vardenis2894        Pavardenis2894      3.04                
Vardenis2895        Pavardenis2895      5.24                
Vardenis2896        Pavardenis2896      3                   
Vardenis2897        Pavardenis2897      2.52                
Vardenis2898        Pavardenis2898      7.28                
Vardenis2899        Pavardenis2899      3.36                
Vardenis2900        Pavardenis2900      5                   
Vardenis2901        Pavardenis2901      4.92                
Vardenis2902        Pavardenis2902      6.4                 
Vardenis2903        Pavardenis2903      5.52                
Vardenis2904        Pavardenis2904      8.8                 
Vardenis2905        Pavardenis2905      3                   
Vardenis2906        Pavardenis2906      5.36                
Vardenis2907        Pavardenis2907      5.6                 
Vardenis2908        Pavardenis2908      4.2                 
Vardenis2909        Pavardenis2909      2.92                
Vardenis2910        Pavardenis2910      6.4                 
Vardenis2911        Pavardenis2911      5.72                
Vardenis2912        Pavardenis2912      3.44                
Vardenis2913        Pavardenis2913      5.12                
Vardenis2914        Pavardenis2914      5.64                
Vardenis2915        Pavardenis2915      4.72                
Vardenis2916        Pavardenis2916      5.44                
Vardenis2917        Pavardenis2917      5.28                
Vardenis2918        Pavardenis2918      6.96                
Vardenis2919        Pavardenis2919      6.6                 
Vardenis2920        Pavardenis2920      4.48                
Vardenis2921        Pavardenis2921      3.68                
Vardenis2922        Pavardenis2922      3.2                 
Vardenis2923        Pavardenis2923      5.04                
Vardenis2924        Pavardenis2924      6.76                
Vardenis2925        Pavardenis2925      7.48                
Vardenis2926        Pavardenis2926      2.84                
Vardenis2927        Pavardenis2927      3.04                
Vardenis2928        Pavardenis2928      3.44                
Vardenis2929        Pavardenis2929      4.68                
Vardenis2930        Pavardenis2930      3.88                
Vardenis2931        Pavardenis2931      4.96                
Vardenis2932        Pavardenis2932      4.6                 
Vardenis2933        Pavardenis2933      2.8                 
Vardenis2934        Pavardenis2934      2.92                
Vardenis2935        Pavardenis2935      7                   
Vardenis2936        Pavardenis2936      7.72                
Vardenis2937        Pavardenis2937      6.96                
Vardenis2938        Pavardenis2938      7.16                
Vardenis2939        Pavardenis2939      3.76                
Vardenis2940        Pavardenis2940      6.16                
Vardenis2941        Pavardenis2941      5.08                
Vardenis2942        Pavardenis2942      6.6                 
Vardenis2943        Pavardenis2943      2.92                
Vardenis2944        Pavardenis2944      6.8                 
Vardenis2945        Pavardenis2945      4.64                
Vardenis2946        Pavardenis2946      4.64                
Vardenis2947        Pavardenis2947      7.12                
Vardenis2948        Pavardenis2948      4.48                
Vardenis2949        Pavardenis2949      2.28                
Vardenis2950        Pavardenis2950      7.72                
Vardenis2951        Pavardenis2951      5.68                
Vardenis2952        Pavardenis2952      3.48                
Vardenis2953        Pavardenis2953      5.88                
Vardenis2954        Pavardenis2954      3.08                
Vardenis2955        Pavardenis2955      3                   
Vardenis2956        Pavardenis2956      3.44                
Vardenis2957        Pavardenis2957      7.36                
Vardenis2958        Pavardenis2958      6.32                
Vardenis2959        Pavardenis2959      7.4                 
Vardenis2960        Pavardenis2960      6                   
Vardenis2961        Pavardenis2961      8                   
Vardenis2962        Pavardenis2962      4.76                
Vardenis2963        Pavardenis2963      7.08                
Vardenis2964        Pavardenis2964      6.76                
Vardenis2965        Pavardenis2965      5.36                
Vardenis2966        Pavardenis2966      3.28                
Vardenis2967        Pavardenis2967      4.24                
Vardenis2968        Pavardenis2968      6.2                 
Vardenis2969        Pavardenis2969      7.52                
Vardenis2970        Pavardenis2970      3.96                
Vardenis2971        Pavardenis2971      8                   
Vardenis2972        Pavardenis2972      5.84                
Vardenis2973        Pavardenis2973      7.4                 
Vardenis2974        Pavardenis2974      5.04                
Vardenis2975        Pavardenis2975      7.24                
Vardenis2976        Pavardenis2976      6.92                
Vardenis2977        Pavardenis2977      6.64                
Vardenis2978        Pavardenis2978      7.44                
Vardenis2979        Pavardenis2979      7.4                 
Vardenis2980        Pavardenis2980      6.84                
Vardenis2981        Pavardenis2981      7.44                
Vardenis2982        Pavardenis2982      5.84                
Vardenis2983        Pavardenis2983      5.28                
Vardenis2984        Pavardenis2984      4.2                 
Vardenis2985        Pavardenis2985      3.96                
Vardenis2986        Pavardenis2986      6.84                
Vardenis2987        Pavardenis2987      3.28                
Vardenis2988        Pavardenis2988      6.48                
Vardenis2989        Pavardenis2989      7.28                
Vardenis2990        Pavardenis2990      4.2                 
Vardenis2991        Pavardenis2991      8.64                
Vardenis2992        Pavardenis2992      3.96                
Vardenis2993        Pavardenis2993      7.36                
Vardenis2994        Pavardenis2994      3.72                
Vardenis2995        Pavardenis2995      7.64                
Vardenis2996        Pavardenis2996      6                   
Vardenis2997        Pavardenis2997      6.08                
Vardenis2998        Pavardenis2998      6.48                
Vardenis2999        Pavardenis2999      6.2                 
Vardenis3000        Pavardenis3000      6.72                
Vardenis3001        Pavardenis3001      5.56                
Vardenis3002        Pavardenis3002      3.56                
Vardenis3003        Pavardenis3003      5.36                
Vardenis3004        Pavardenis3004      5.96                
Vardenis3005        Pavardenis3005      5.96                
Vardenis3006        Pavardenis3006      2.36                
Vardenis3007        Pavardenis3007      6.16                
Vardenis3008        Pavardenis3008      4.68                
Vardenis3009        Pavardenis3009      4.16                
Vardenis3010        Pavardenis3010      3.76                
Vardenis3011        Pavardenis3011      4.6                 
Vardenis3012        Pavardenis3012      6.64                
Vardenis3013        Pavardenis3013      5.08                
Vardenis3014        Pavardenis3014      2.44                
Vardenis3015        Pavardenis3015      4.88                
Vardenis3016        Pavardenis3016      3.08                
Vardenis3017        Pavardenis3017      7.84                
Vardenis3018        Pavardenis3018      4.12                
Vardenis3019        Pavardenis3019      2.96                
Vardenis3020        Pavardenis3020      5.68                
Vardenis3021        Pavardenis3021      5.2                 
Vardenis3022        Pavardenis3022      3.8                 
Vardenis3023        Pavardenis3023      8.4                 
Vardenis3024        Pavardenis3024      2.28                
Vardenis3025        Pavardenis3025      4.52                
Vardenis3026        Pavardenis3026      7.48                
Vardenis3027        Pavardenis3027      5.92                
Vardenis3028        Pavardenis3028      3.4                 
Vardenis3029        Pavardenis3029      4.48                
Vardenis3030        Pavardenis3030      3.64                
Vardenis3031        Pavardenis3031      5.04                
Vardenis3032        Pavardenis3032      8.16                
Vardenis3033        Pavardenis3033      4.32                
Vardenis3034        Pavardenis3034      5.08                
Vardenis3035        Pavardenis3035      8.2                 
Vardenis3036        Pavardenis3036      4.92                
Vardenis3037        Pavardenis3037      3.44                
Vardenis3038        Pavardenis3038      3.64                
Vardenis3039        Pavardenis3039      4.32                
Vardenis3040        Pavardenis3040      4.32                
Vardenis3041        Pavardenis3041      3.48                
Vardenis3042        Pavardenis3042      6.24                
Vardenis3043        Pavardenis3043      5.8                 
Vardenis3044        Pavardenis3044      6.44                
Vardenis3045        Pavardenis3045      5.6                 
Vardenis3046        Pavardenis3046      3                   
Vardenis3047        Pavardenis3047      6.52                
Vardenis3048        Pavardenis3048      7.72                
Vardenis3049        Pavardenis3049      6.12                
Vardenis3050        Pavardenis3050      3.64                
Vardenis3051        Pavardenis3051      1.64                
Vardenis3052        Pavardenis3052      3.2                 
Vardenis3053        Pavardenis3053      3.44                
Vardenis3054        Pavardenis3054      2.84                
Vardenis3055        Pavardenis3055      8.16                
Vardenis3056        Pavardenis3056      8.28                
Vardenis3057        Pavardenis3057      5.8                 
Vardenis3058        Pavardenis3058      6.2                 
Vardenis3059        Pavardenis3059      8.96                
Vardenis3060        Pavardenis3060      6.08                
Vardenis3061        Pavardenis3061      6.28                
Vardenis3062        Pavardenis3062      5.48                
Vardenis3063        Pavardenis3063      7.88                
Vardenis3064        Pavardenis3064      6.48                
Vardenis3065        Pavardenis3065      3.6                 
Vardenis3066        Pavardenis3066      6.12                
Vardenis3067        Pavardenis3067      5.56                
Vardenis3068        Pavardenis3068      4.84                
Vardenis3069        Pavardenis3069      4.76                
Vardenis3070        Pavardenis3070      4.36                
Vardenis3071        Pavardenis3071      7.96                
Vardenis3072        Pavardenis3072      6.08                
Vardenis3073        Pavardenis3073      8.12                
Vardenis3074        Pavardenis3074      8.08                
Vardenis3075        Pavardenis3075      6.56                
Vardenis3076        Pavardenis3076      4.24                
Vardenis3077        Pavardenis3077      6.32                
Vardenis3078        Pavardenis3078      8.36                
Vardenis3079        Pavardenis3079      5                   
Vardenis3080        Pavardenis3080      2.84                
Vardenis3081        Pavardenis3081      5.4                 
Vardenis3082        Pavardenis3082      7.08                
Vardenis3083        Pavardenis3083      5.32                
Vardenis3084        Pavardenis3084      6.24                
Vardenis3085        Pavardenis3085      3.68                
Vardenis3086        Pavardenis3086      3.48                
Vardenis3087        Pavardenis3087      5.68                
Vardenis3088        Pavardenis3088      6.24                
Vardenis3089        Pavardenis3089      4.84                
Vardenis3090        Pavardenis3090      5                   
Vardenis3091        Pavardenis3091      6.52                
Vardenis3092        Pavardenis3092      4.44                
Vardenis3093        Pavardenis3093      4.48                
Vardenis3094        Pavardenis3094      1.88                
Vardenis3095        Pavardenis3095      4.68                
Vardenis3096        Pavardenis3096      2.76                
Vardenis3097        Pavardenis3097      8.32                
Vardenis3098        Pavardenis3098      3.2                 
Vardenis3099        Pavardenis3099      7.92                
Vardenis3100        Pavardenis3100      5.76                
Vardenis3101        Pavardenis3101      6.04                
Vardenis3102        Pavardenis3102      2.12                
Vardenis3103        Pavardenis3103      5.24                
Vardenis3104        Pavardenis3104      3.56                
Vardenis3105        Pavardenis3105      4.84                
Vardenis3106        Pavardenis3106      6.6                 
Vardenis3107        Pavardenis3107      5.2                 
Vardenis3108        Pavardenis3108      8.44                
Vardenis3109        Pavardenis3109      4.88                
Vardenis3110        Pavardenis3110      4.04                
Vardenis3111        Pavardenis3111      6.16                
Vardenis3112        Pavardenis3112      5.6                 
Vardenis3113        Pavardenis3113      4.32                
Vardenis3114        Pavardenis3114      4.48                
Vardenis3115        Pavardenis3115      6.04                
Vardenis3116        Pavardenis3116      6.04                
Vardenis3117        Pavardenis3117      8.64                
Vardenis3118        Pavardenis3118      6.36                
Vardenis3119        Pavardenis3119      7.24                
Vardenis3120        Pavardenis3120      2.84                
Vardenis3121        Pavardenis3121      7.8                 
Vardenis3122        Pavardenis3122      8.32                
Vardenis3123        Pavardenis3123      3.4                 
Vardenis3124        Pavardenis3124      4.28                
Vardenis3125        Pavardenis3125      6.84                
Vardenis3126        Pavardenis3126      3.64                
Vardenis3127        Pavardenis3127      2.76                
Vardenis3128        Pavardenis3128      7.6                 
Vardenis3129        Pavardenis3129      7.4                 
Vardenis3130        Pavardenis3130      7.28                
Vardenis3131        Pavardenis3131      3.2                 
Vardenis3132        Pavardenis3132      3.96                
Vardenis3133        Pavardenis3133      3.2                 
Vardenis3134        Pavardenis3134      5.32                
Vardenis3135        Pavardenis3135      3.68                
Vardenis3136        Pavardenis3136      2.6                 
Vardenis3137        Pavardenis3137      8.88                
Vardenis3138        Pavardenis3138      5.68                
Vardenis3139        Pavardenis3139      5.08                
Vardenis3140        Pavardenis3140      2.36                
Vardenis3141        Pavardenis3141      8.96                
Vardenis3142        Pavardenis3142      2.6                 
Vardenis3143        Pavardenis3143      8.44                
Vardenis3144        Pavardenis3144      9.2                 
Vardenis3145        Pavardenis3145      8.4                 
Vardenis3146        Pavardenis3146      7.8                 
Vardenis3147        Pavardenis3147      8.4                 
Vardenis3148        Pavardenis3148      6.8                 
Vardenis3149        Pavardenis3149      5.08                
Vardenis3150        Pavardenis3150      7.48                
Vardenis3151        Pavardenis3151      6.28                
Vardenis3152        Pavardenis3152      1.96                
Vardenis3153        Pavardenis3153      4.44                
Vardenis3154        Pavardenis3154      4.36                
Vardenis3155        Pavardenis3155      7.64                
Vardenis3156        Pavardenis3156      6.52                
